Name,Title,Prereqs,Coreqs
ECE 531,"Industrial Drive Systems","E E 332 and E E 431 or equivalent","None"
ECE 540,"Detection and Estimation","ECE 502 or equivalent","None"
ECE 541,"Digital Signal Processing","None","None"
ECE 546,"Semiconductor Fundamentals for Device Applications","An undergraduate course in solid-state devices or physics, or consent of the instructor","None"
ECE 547,"Fundamentals of Solid State Devices","None","None"
ECE 551,"Design of CMOS Analog Integrated Circuits","None","None"
ECE 553,"Digital Integrated Circuit Design","None","None"
ECE 558,"Microfabrication and Nanofabrication Topics I","None","None"
ECE 559,"Microfabrication and Nanofabrication Topics II","None","None"
ECE 560,"Modern Control Theory","None","None"
ECE 561,"Nonlinear Control Systems","None","None"
ECE 570,"Computational Electromagnetics","None","None"
ECE 571,"Optical and Quantum Electronics","None","None"
ECE 572,"Nonlinear Optics","None","None"
ECE 576,"Advanced Engineering Electromagnetics","None","None"
ECE 577,"Antenna Theory and Design","E E 315 or equivalent, and E E 470 and/or E E 478 or equivalent considered an asset","None"
ECE 578,"Advanced Mircowave and Millimeter-wave Circuits","None","None"
ECE 582,"Information Theory and Channel Coding","None","None"
ECE 583,"Digital Communications","None","None"
ECE 601,"MSc Research Project Definition","None","None"
ECE 602,"PhD Research Project Definition","None","None"
ECE 623,"Data Exploration and Evolutionary Computing","None","None"
ECE 624,"Fuzzy Sets in Human-Centric Systems","None","None"
ECE 625,"Data Analysis and Knowledge Discovery","None","None"
ECE 626,"Advanced Neural Networks","None","None"
ECE 627,"Intelligent Web","None","None"
ECE 631,"HVDC Systems","None","None"
ECE 633,"Modeling and Simulation of Electromagnetic Transients in Electrical Circuits","None","None"
ECE 635,"Power Converters and Renewable Energy Systems","None","None"
ECE 636,"Dynamics and Controls of Voltage-Source Converters","None","None"
ECE 644,"Digital Image and Video Processing","None","None"
ECE 646,"Organic Electronics","None","None"
ECE 647,"Compact Modeling of High Performance Electronics","None","None"
ECE 650,"Radio Frequency Integrated Circuits","None","None"
ECE 658,"Microsensors and Microelectromechanical Systems","None","None"
ECE 660,"Optimization in Dynamic Control and Estimation","ECE560 or equivalent","None"
ECE 664,"Nonlinear Control Design with Applications","None","None"
ECE 665,"Multivariable Robust Control","None","None"
ECE 673,"Laser Applications","None","None"
ECE 675,"Plasma Engineering","None","None"
ECE 684,"Wireless Communication Systems","ECE 583 or consent of instructor and an undergraduate level probability course","None"
ECE 686,"Wireless Communication Networks","None","None"
ECE 691,"Biomedical Optics","consent of Instructor","None"
ECE 692,"Ultrasound Imaging","None","None"
